hydrophobicity_score	Recognition_score	self_sequence_similarity	EL_dissimilarity	EL_mt_rank	EL_wt_rank	EL_ht_rank	Pep_len	response
0.92589	0.999999547347	0.915254237288	1.07237095818e-22	12.1174	22.7121	22.7121	11	0
0.958398	3.5033261509e-09	0.915254237288	0.399458050199	1.7257	0.7155	0.7155	11	0
0.380795	0.00773634567384	0.888888888889	0.499891681339	0.5254	0.4408	0.4408	9	0
0.237616	0.00761979861171	0.933333333333	0.500026706679	0.1035	0.2098	0.2098	10	0
0.309607	0.000117901528373	0.879310344828	0.304597411392	2.1651	66.6667	9.4108	11	0
0.84187	0.666666717354	0.916666666667	0.854386281669	1.5374	2.3945	2.3945	10	0
0.989931	7.13842555542e-09	0.87037037037	4.95756294238e-46	22.8636	16.9896	16.9896	10	0
0.0661319	0.997447108	0.764705882353	0.499210163252	0.7264	0.2153	0.2153	10	0
0.0917994	8.11002634174e-11	0.877551020408	0.427423489686	2.0581	3.2289	3.2289	10	0
0.407162	9.08943093321e-07	0.924528301887	0.531668232842	1.4333	1.6124	1.6124	10	0
0.23145	0.00762022380083	0.960784313725	1.07226838978e-15	8.8938	9.1242	9.1242	10	0
0.312927	0.999999996524	0.857142857143	0.489994263685	1.232	0.6288	0.6288	10	0
0.315274	2.12798930458e-13	0.928571428571	0.199807137623	2.2775	5.0042	5.0042	9	0
0.981501	0.00773633543483	0.925373134328	5.25864230843e-05	3.9706	14.7993	2.6293	11	0
0.263975	0.0152971472328	0.947368421053	6.09427756442e-05	3.8633	1.881	1.881	10	0
0.935257	1.82817765136e-06	0.9375	1.96686693236e-06	4.6278	3.7844	3.7844	11	0
0.803814	0.999999550796	0.957746478873	0.499992279188	0.4986	0.493	0.493	11	0
0.458718	5.89525821502e-05	0.755102040816	0.0323624417444	2.6072	1.9292	1.9292	9	0
0.0651819	2.71059442853e-11	0.860465116279	0.499915051482	0.3321	0.0836	0.0836	9	0
0.342356	5.89595054308e-05	0.943396226415	0.152812719213	2.3382	2.6553	2.6553	9	0
0.28763	1.05089143602e-08	0.869565217391	0.506511864984	1.1409	1.2818	1.2818	9	0
0.393368	0.00762022717372	0.964285714286	0.00508927810326	3.0551	4.0587	4.0587	11	0
0.584882	4.5270686197e-07	0.946428571429	0.499956531953	0.3204	0.5977	0.2229	10	0
0.985791	0.999970522901	0.898305084746	0.00192507574905	3.2397	2.4354	2.4354	11	0
0.204428	5.4609066547e-11	0.829787234043	0.499951924642	0.3348	0.2336	0.2336	9	0
0.106816	0.992437854124	0.925373134328	3.44907544759e-13	7.7391	10.296	40.375	11	0
0.34716	5.89560304464e-05	0.866666666667	0.962942395512	0.124	2.5055	2.5055	9	0
0.867816	2.66899216692e-11	0.882352941176	0.016840246115	2.8134	34.6875	23.1818	10	1
0.226025	8.10970807916e-11	0.782608695652	0.512573614363	0.4345	1.2718	1.2718	9	0
0.382259	4.52680574178e-07	0.872340425532	0.500022728871	0.1958	0.2597	0.2597	10	0
0.297294	5.94087381152e-05	0.926829268293	0.500000129746	0.0089	0.01	0.01	9	0
0.460448	1.07583472883e-10	0.883720930233	0.521415647756	0.5743	1.3827	4.9672	9	0
0.94956	5.9405235426e-05	0.827586206897	0.947846917845	0.8345	2.4423	2.4423	11	0
0.164332	9.1255191877e-07	0.862745098039	0.552809611642	1.9538	2.8138	2.8138	9	0
0.0914648	0.501912346519	0.877192982456	0.500002641146	0.141	0.1522	0.1522	10	0
0.425304	0.0151823593825	0.842105263158	0.499797926829	0.4834	0.1671	0.1671	10	0
0.101405	0.0151823661249	0.857142857143	0.50008817844	0.1661	0.3643	0.3643	11	0
0.117944	0.999999550769	0.882352941176	0.990423529465	0.8047	2.8491	2.8491	9	0
0.775618	6.97870612752e-09	0.880952380952	0.492461547174	1.5393	1.5204	1.5204	10	0
0.730836	6.97871878838e-09	0.928571428571	0.530425675456	0.4518	1.4543	1.4543	9	0
0.12611	0.50000000002	0.803921568627	1.03879762077e-07	5.216	3.9336	3.9336	10	0
0.338843	1.60130793347e-10	0.833333333333	0.510083970382	0.2133	1.2247	1.2247	9	0
0.837325	0.000176836681805	0.945454545455	0.500011582808	0.3755	0.3906	0.3906	11	0
0.992898	5.35814313171e-11	0.938775510204	0.393784301755	1.952	1.9248	1.9248	11	0
0.199617	2.68947187781e-11	0.826086956522	0.500109963855	0.1886	0.4007	0.4007	9	0
0.946646	1.34263856942e-10	0.883333333333	0.00135513248908	3.3205	75.0	10.2914	11	0
0.956656	1.0	0.958333333333	0.0203012892925	2.7753	3.8074	3.8074	10	0
0.020012	2.06553727853e-13	0.891304347826	0.498653888636	0.8825	0.6269	0.6269	10	0
0.0371779	2.71059677868e-11	0.9	0.0977368516661	2.344	1.8181	1.8181	10	0
0.0290134	8.02837812807e-11	0.945454545455	0.499971522961	0.3025	0.2378	0.2378	10	0
0.0646935	5.94086572326e-05	0.853658536585	0.500000883204	0.0094	0.0167	0.0167	9	0
0.832024	1.45653635602e-12	0.947368421053	0.00195828741207	3.2467	3.5418	3.5418	11	0
0.956517	0.000118806834717	0.9375	7.48024712443e-09	5.7422	33.1333	19.8654	11	0
0.29205	0.999980350342	0.865384615385	0.999273104012	0.5548	16.1283	0.729	9	0
0.777342	4.52680175319e-07	0.929824561404	0.619335581859	1.533	1.8837	39.3333	11	0
0.596574	0.500000001758	0.9	0.0115959674708	2.889	3.412	3.412	11	0
0.216957	4.17767046797e-13	0.875	0.500021942161	0.1489	0.2245	0.2245	9	1
0.963664	0.50194204431	0.949152542373	0.500114579128	0.4599	0.542	0.542	11	0
0.839511	0.000294703356656	0.9	0.0016737685256	3.2782	4.4479	4.4479	11	0
0.0576431	1.04561605592e-08	0.830508474576	0.500041057901	0.0959	0.2462	11.7481	10	0
0.0352198	0.00761977114716	0.929824561404	0.500189925972	0.32	0.518	0.518	10	0
0.0441845	1.27349547845e-17	0.893617021277	0.500121885325	0.4978	0.5717	0.5717	10	0
0.388221	5.33764279619e-11	0.80487804878	0.500004967697	0.1136	6.9374	0.137	9	0
0.172778	2.1289623888e-13	0.863636363636	0.500010438682	0.0752	0.1301	0.1301	9	0
0.857662	5.94085769805e-05	0.872340425532	0.951316191964	1.4055	15.6411	5.0544	10	0
0.595042	5.89700118797e-05	0.877551020408	0.499998359256	0.1952	0.1897	0.1897	9	0
0.986737	1.61174284052e-10	0.916666666667	0.500228468831	0.3012	0.536	1.0383	11	0
0.355112	0.500014742042	0.803921568627	0.500009393831	0.6588	0.6621	0.6621	10	0
0.956947	0.00761977109481	0.915254237288	8.09707156286e-06	4.3448	17.7947	1.3104	11	0
0.0544254	0.000118361024257	0.9	0.972077273237	1.29	4.9943	0.199	10	0
0.317858	5.895247541e-05	0.865384615385	3.30208071614e-30	15.5766	15.6331	15.6331	11	0
0.320641	0.500000113223	0.916666666667	0.999775193901	0.3193	4.6755	10.31	11	0
0.13937	0.00767782955544	0.869565217391	0.500000276823	0.0985	0.1	0.1336	9	0
0.0757437	0.00761978136351	0.890909090909	0.000323495802493	3.6072	4.6521	4.6521	10	0
0.799614	0.00767783890337	0.9	0.000407091204754	3.5612	3.7862	3.7862	11	0
0.971043	5.35924346204e-11	0.87037037037	0.0245305380826	2.7366	5.1895	5.1895	11	0
0.990798	0.500000226347	0.929824561404	0.520120771037	0.9271	1.3895	1.3895	11	0
0.0408337	0.0151243086111	0.914893617021	0.999944800419	0.0391	8.9136	8.9136	10	0
0.0126073	1.7356401995e-14	0.877551020408	0.92781728676	0.8211	2.3643	2.3643	10	0
0.117602	0.99999954732	0.942307692308	0.500042797594	0.1792	0.2934	0.2934	9	0
0.242039	7.03394263456e-09	0.942307692308	0.497439036174	1.0631	0.8999	0.8999	10	0
0.416742	9.12311518964e-07	0.901960784314	0.00855530523259	2.9504	3.3428	3.3428	10	0
0.245111	0.999999996524	0.888888888889	0.501209208094	1.3733	1.394	1.394	9	0
0.824693	3.5306180831e-09	0.862745098039	9.80112282899e-06	4.3066	4.3573	4.3573	11	0
0.957737	3.5025001914e-09	0.918367346939	1.55609694207e-08	5.5957	5.8246	5.8246	11	0
0.984923	0.99999954732	0.88679245283	9.6604458212e-05	3.8457	2.6799	2.6799	11	0
0.294828	4.75755820761e-15	0.934782608696	0.500735988866	0.857	0.932	0.932	9	0
0.544394	0.999999999973	0.923076923077	0.500106226574	0.2526	0.4213	0.6926	9	0
0.145344	0.999999996524	0.830188679245	0.999079341224	0.6021	15.1573	15.1573	10	0
0.967539	0.501912342215	0.910714285714	1.64793191336e-12	7.4263	7.6329	7.6329	11	1
0.0189052	2.67008979278e-11	0.9375	0.501737311541	0.8294	0.9896	0.9896	10	0
